LAD20CD,LAD20NM,WOODLAND_AREA,AREALHECT,WOODLAND_COVER,Percentage of area
E07000217,Woking,1397.249588,6360.34,0.219681587,21.96815874
E07000218,North Warwickshire,2273.943011,28426.13,0.079994815,7.999481502
E07000219,Nuneaton and Bedworth,432.5256606,7895.04,0.05478448,5.478447995
E07000220,Rugby,1600.142181,35111.33,0.045573386,4.557338561
E07000221,Stratford-on-Avon,7240.358301,97786.94,0.074042181,7.404218089
E07000222,Warwick,2104.416503,28288.22,0.074391973,7.439197318
E07000223,Adur,145.0042838,4206.55,0.034471071,3.447107102
E07000224,Arun,3477.998014,22099.12,0.157381743,15.73817425
E07000225,Chichester,20893.25655,78619.48,0.26575165,26.57516502
E07000226,Crawley,577.4711453,4497.11,0.128409389,12.84093885
E07000227,Horsham,8850.823548,53027.87,0.166908902,16.69089018
E07000228,Mid Sussex,8458.590651,33402.94,0.253228927,25.32289269
E07000229,Worthing,195.6863514,3252.09,0.06017249,6.017248952
E07000234,Bromsgrove,2235.909919,21696.84,0.10305233,10.30523301
E07000235,Malvern Hills,6202.82516,57707.1,0.107488076,10.74880762
E07000236,Redditch,589.5343598,5425.09,0.108668125,10.86681253
E07000237,Worcester,147.7957618,3327.82,0.044412186,4.441218629
E07000238,Wychavon,4715.104033,66354.18,0.071059638,7.105963834
E07000239,Wyre Forest,3524.796315,19540.38,0.180385249,18.03852491
E07000240,St Albans,1949.01144,16120.58,0.120902067,12.09020668
E07000241,Welwyn Hatfield,2407.242397,12953.68,0.185834635,18.58346352
E07000242,East Hertfordshire,4782.430447,47566.95,0.100541036,10.05410363
E07000243,Stevenage,166.0565434,2596.92,0.06394365,6.394364994
E07000244,East Suffolk,12813.02532,126098.97,0.101610864,10.16108642
E07000245,West Suffolk,14931.16907,103467.56,0.144307733,14.43077335
E07000246,Somerset West and Taunton,14553.61121,118759.48,0.122546943,12.25469428
E08000001,Bolton,1348.829088,13979.23,0.096488082,9.648808182
E08000002,Bury,889.2321257,9946.01,0.089405915,8.94059151
E08000003,Manchester,861.9107979,11564.85,0.074528489,7.452848916
E08000004,Oldham,808.2703519,14234.5,0.05678249,5.678248986
E08000005,Rochdale,821.3297383,15812.83,0.051940718,5.194071765
E08000006,Salford,910.2605627,9719.74,0.093650711,9.365071109
E08000007,Stockport,1209.253235,12604.02,0.095941869,9.594186892
E08000008,Tameside,913.2773801,10315.43,0.088535076,8.85350761
E08000009,Trafford,557.161655,10604.46,0.052540314,5.25403137
E08000010,Wigan,1860.861934,18817.11,0.098892016,9.88920155
E08000011,Knowsley,886.7932689,8650.02,0.102519216,10.2519216
E08000012,Liverpool,528.6372164,11183.57,0.047269094,4.726909353
E08000013,St. Helens,1276.879794,13635.87,0.093641241,9.364124135
E08000014,Sefton,875.3141566,15657.82,0.055902684,5.590268355
E08000015,Wirral,997.2819278,16092.2,0.061973001,6.197300107
E08000016,Barnsley,3723.35341,32907.76,0.113145149,11.31451491
E08000017,Doncaster,5024.438454,56802.22,0.088454966,8.845496626
E08000018,Rotherham,2940.742916,28653.43,0.102631445,10.26314447
E08000019,Sheffield,4872.569622,36793.02,0.132431902,13.24319021
E08000021,Newcastle upon Tyne,659.2550227,11345.62,0.058106566,5.810656647
E08000022,North Tyneside,267.4431234,8231.39,0.032490639,3.24906393
E08000023,South Tyneside,219.1181638,6442.05,0.034013732,3.401373224
E08000024,Sunderland,1055.801274,13743.65,0.076821025,7.682102454
E08000025,Birmingham,1621.459212,26779.12,0.060549384,6.05493837
